,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
146,Project CARS,2015.0,Racing,0.21,0.16,0.0,0.04,0.41
147,Destiny: The Collection,2016.0,Shooter,0.25,0.12,0.0,0.04,0.41
148,Skylanders: SuperChargers,2015.0,Action-Adventure,0.31,0.05,0.0,0.04,0.4
149,Deus Ex: Mankind Divided,2016.0,Role-Playing,0.25,0.11,0.0,0.04,0.39
150,NHL 18,2017.0,Sports,0.32,0.03,0.0,0.04,0.39
151,The Evil Within II,2017.0,Action,0.25,0.1,0.0,0.04,0.39
152,Rayman Legends,2014.0,Platform,0.13,0.22,0.0,0.03,0.38
153,Just Dance 2016,2015.0,Music,0.3,0.04,0.0,0.04,0.38
154,Skylanders SWAP Force,2013.0,Misc,0.25,0.07,0.0,0.03,0.35
155,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,0.25,0.07,0.0,0.03,0.35
156,Dragon Ball: XenoVerse,2015.0,Fighting,0.21,0.11,0.0,0.03,0.35
157,Marvel vs. Capcom: Infinite,2017.0,Fighting,0.26,0.05,0.0,0.03,0.34
158,Just Dance 2017,2016.0,Music,0.25,0.05,0.0,0.03,0.34
159,The Lego Ninjago Movie Videogame,2017.0,Action,0.21,0.09,0.0,0.03,0.33
160,The Crew 2,2018.0,Racing,0.2,0.1,0.0,0.03,0.33
161,Farming Simulator 17,2016.0,Simulation,0.19,0.11,0.0,0.03,0.33
162,METRO 2033,2014.0,Shooter,0.15,0.14,0.0,0.03,0.31
163,Hitman (2016),2017.0,Action,0.2,0.08,0.0,0.03,0.31
164,LEGO City Undercover,2017.0,Platform,0.15,0.12,0.0,0.03,0.3
165,Final Fantasy Type-0,2015.0,Role-Playing,0.2,0.07,0.0,0.03,0.3
166,Sniper Elite 4,2017.0,Shooter,0.18,0.09,0.0,0.03,0.3
167,Sonic Forces,2017.0,Platform,0.15,0.11,0.0,0.03,0.29
168,Dark Souls II,2015.0,Role-Playing,0.19,0.07,0.0,0.03,0.28
169,Battleborn,2016.0,Shooter,0.2,0.05,0.0,0.03,0.28
